timestamp,backend,precision,n,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,fps,n_warmup,n_iter,input_shape
2026-05-18T03:02:45+09:00,trt_int8_entropy_100,int8,200,3.5411,0.2353,3.3516,3.8318,3.8530,282.4018,20,200,"[1, 3, 640, 640]"
2026-05-18T03:02:46+09:00,trt_int8_entropy_500,int8,200,3.2842,0.0134,3.2818,3.3041,3.3322,304.4905,20,200,"[1, 3, 640, 640]"
2026-05-18T03:02:47+09:00,trt_int8_minmax_500,int8,200,3.3460,0.0149,3.3421,3.3733,3.3998,298.8673,20,200,"[1, 3, 640, 640]"
2026-05-18T03:02:48+09:00,trt_int8_percentile_500,int8,200,3.4386,0.0623,3.4260,3.4805,3.6525,290.8142,20,200,"[1, 3, 640, 640]"
2026-05-18T03:04:03+09:00,trt_int8_entropy_100,int8,200,3.5701,0.2501,3.3778,3.8650,3.8967,280.1079,20,200,"[1, 3, 640, 640]"
2026-05-18T03:04:04+09:00,trt_int8_entropy_500,int8,200,3.2948,0.0546,3.2877,3.3112,3.3707,303.5069,20,200,"[1, 3, 640, 640]"
2026-05-18T03:04:04+09:00,trt_int8_minmax_500,int8,200,3.3423,0.0493,3.3357,3.3657,3.4104,299.1914,20,200,"[1, 3, 640, 640]"
2026-05-18T03:04:05+09:00,trt_int8_percentile_500,int8,200,3.4314,0.0140,3.4287,3.4515,3.4876,291.4226,20,200,"[1, 3, 640, 640]"
2026-05-19T17:49:11+09:00,trt_int8_entropy_100,int8,200,3.3770,0.0167,3.3751,3.3901,3.4078,296.1186,20,200,"[1, 3, 640, 640]"
2026-05-19T17:49:12+09:00,trt_int8_entropy_500,int8,200,3.2973,0.0096,3.2963,3.3085,3.3222,303.2743,20,200,"[1, 3, 640, 640]"
2026-05-19T17:49:13+09:00,trt_int8_minmax_500,int8,200,3.3696,0.0102,3.3684,3.3873,3.4045,296.7680,20,200,"[1, 3, 640, 640]"
2026-05-19T17:49:13+09:00,trt_int8_percentile_500,int8,200,3.4460,0.0136,3.4441,3.4631,3.4991,290.1942,20,200,"[1, 3, 640, 640]"
2026-05-19T17:49:14+09:00,trt_int8_entropy_100_host,int8,200,4.6312,0.0400,4.6213,4.6850,4.7096,215.9245,20,200,"[1, 3, 640, 640]"
2026-05-19T17:49:16+09:00,trt_int8_entropy_500_host,int8,200,4.5532,0.0218,4.5474,4.5992,4.6206,219.6257,20,200,"[1, 3, 640, 640]"
2026-05-19T17:49:17+09:00,trt_int8_minmax_500_host,int8,200,4.6222,0.0259,4.6137,4.6786,4.7026,216.3465,20,200,"[1, 3, 640, 640]"
2026-05-19T17:49:18+09:00,trt_int8_percentile_500_host,int8,200,4.7055,0.0255,4.6975,4.7651,4.7858,212.5188,20,200,"[1, 3, 640, 640]"
